"nit_entidad","nombre_entidad","modalidad_de_contratacion","valor_del_contrato","fecha_de_firma","fecha_de_inicio_del_contrato","fecha_de_fin_del_contrato"
"900478966","UNGRD","Mínima cuantía","18476990.0","","",""
"900478966","UNGRD","Contratación directa","28676000.0","2018-01-26T00:00:00.000","2018-01-26T00:00:00.000","2018-05-25T00:00:00.000"
"900478966","UNGRD","Contratación directa","38400000.0","2024-07-29T00:00:00.000","2024-07-30T00:00:00.000","2024-12-23T00:00:00.000"
"900478966","UNGRD","Contratación directa","63390438.0","2023-04-28T00:00:00.000","2023-04-29T00:00:00.000","2023-10-28T00:00:00.000"
"900478966","UNGRD","Contratación directa","20081760.0","2019-01-11T00:00:00.000","2019-01-12T00:00:00.000","2019-06-30T00:00:00.000"
"900478966","UNGRD","Contratación directa","79000000.0","2026-01-29T00:00:00.000","2026-01-30T00:00:00.000","2026-11-29T00:00:00.000"
"900478966","UNGRD","Mínima cuantía","13028.0","2018-12-19T00:00:00.000","2018-12-19T00:00:00.000","2018-12-31T00:00:00.000"
"900478966","UNGRD","Contratación directa","79000000.0","2026-01-28T00:00:00.000","2026-01-29T00:00:00.000","2026-11-28T00:00:00.000"
"900478966","UNGRD","Contratación directa","45500250.0","2022-01-11T00:00:00.000","2022-01-12T00:00:00.000","2022-12-23T00:00:00.000"
"900478966","UNGRD","Contratación directa","36375000.0","2025-05-08T00:00:00.000","2025-05-09T00:00:00.000","2025-12-23T00:00:00.000"
"900478966","UNGRD","Mínima cuantía","13904122.0","2020-07-24T00:00:00.000","","2020-11-27T00:00:00.000"
"900478966","UNGRD","Mínima cuantía","13890000.0","2018-12-07T00:00:00.000","2018-12-07T00:00:00.000","2018-12-31T00:00:00.000"
"900478966","UNGRD","Contratación directa","88000000.0","2026-01-22T00:00:00.000","2026-01-22T00:00:00.000","2026-12-21T00:00:00.000"
"900478966","UNGRD","Mínima cuantía","5904000.0","2020-11-27T00:00:00.000","","2020-12-15T00:00:00.000"
"900478966","UNGRD","Contratación directa","2523879.0","2020-11-30T00:00:00.000","2020-12-01T00:00:00.000","2020-12-31T00:00:00.000"
"900478966","UNGRD","Contratación directa","100000000.0","2025-02-12T00:00:00.000","2025-02-13T00:00:00.000","2025-12-12T00:00:00.000"
